Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
42711,769.073,289.0850651,188.3827673,1.534562154,0.758518354,43187,233.1980579,0.707463725,0.988978165,0.907432802,0.806676256,6.768398,0.1767921,361.15325245500003,200.714657184,SIRA
181985,1622.689,597.6705159,390.6550596,1.529918789,0.756814721,184037,481.363167,0.771816208,0.988850068,0.868510099,0.805398885,3.284175,0.0852413,360.01038702,199.47408598799998,BOMBAY
38909,727.644,273.8315398,181.2437758,1.510846585,0.749609305,39304,222.5769023,0.783949871,0.989950132,0.923468377,0.8128242,7.037743,0.1894958,366.67916490000005,200.636376327,DERMASON
41646,767.796,287.9063394,185.6231138,1.551026344,0.764406689,42225,230.2723042,0.737815573,0.986287744,0.887751609,0.79981672,6.913181,0.1745097,355.03726623,199.432617678,SIRA
32959,680.96,254.9414312,165.8488515,1.537191418,0.759474504,33424,204.8528793,0.723245046,0.986087841,0.89318349,0.803529181,7.735108,0.1989082,358.34082492,199.49284069499998,DERMASON
28746,636.721,232.4175742,158.2027717,1.469111898,0.732577767,29172,191.3126863,0.772077783,0.985396956,0.891023047,0.823142084,8.085214,0.2289658,376.04740395,200.078556504,DERMASON
33938,689.146,256.4788425,168.7756585,1.51964356,0.752975065,34328,207.873047,0.772723133,0.988639012,0.897994403,0.810488089,7.557276,0.2011554,364.57447336499996,200.646258291,DERMASON
37500,715.578,272.1718135,175.668301,1.549350748,0.763818037,37797,218.5096861,0.786229453,0.992142234,0.920295232,0.802837308,7.257915000000001,0.1859952,357.72399736499995,200.724736128,DERMASON
47089,844.194,343.8945066,176.1705569,1.952054377,0.858818008,47624,244.8582793,0.817602528,0.988766168,0.830318682,0.712015675,7.303075,0.11578269999999999,281.366308155,198.914791227,HOROZ
183243,1653.91,621.0828564,380.4553283,1.632472488,0.790418086,187180,483.0240511,0.783571942,0.97896677,0.841808896,0.777712742,3.389395,0.07648540000000001,335.684595495,198.46336793999998,BOMBAY
32179,667.081,248.1933904,165.4593715,1.500026189,0.745366403,32529,202.4143654,0.802508853,0.98924037,0.908709913,0.815550991,7.712898999999999,0.21047570000000002,369.14349698999996,200.538211746,DERMASON
63218,1000.665,416.3419172,194.4197638,2.141458816,0.884272425,64069,283.7105171,0.725509548,0.986717445,0.793365291,0.681436352,6.585813,0.0875972,257.71730361,199.874034783,HOROZ
44258,786.675,291.921597,194.7910702,1.498639525,0.744814239,44835,237.3837311,0.767408795,0.98713059,0.898692156,0.813176324,6.595906,0.177907,366.996931815,199.187779578,SIRA
48096,861.472,346.1250999,177.6646917,1.948192951,0.858211531,48665,247.4625813,0.708805541,0.988307819,0.81439761,0.714951274,7.196546,0.11598710000000001,283.69120537500004,200.161669401,HOROZ
54187,931.202,353.7848501,195.5619723,1.809067714,0.833333262,55164,262.6652455,0.769133595,0.982289174,0.785266682,0.742443452,6.528962,0.12237070000000001,305.92836539999996,200.43688443,BARBUNYA
68272,1000.45,350.8396851,248.4830485,1.411926034,0.705959305,69358,294.8331905,0.779067246,0.984342109,0.857159637,0.840364426,5.138852,0.1580944,391.94786424,200.421045228,BARBUNYA
73846,1040.717,403.9120572,235.0782203,1.718202804,0.813186299,74693,306.6327566,0.799753076,0.988660249,0.856784384,0.759157225,5.469654,0.11206409999999999,319.857429615,199.037056512,CALI
55145,930.03,365.7450534,198.0564098,1.846671127,0.840691128,56953,264.9769701,0.78501573,0.968254526,0.801165223,0.724485451,6.632425,0.1127122,291.307938795,194.825120607,HOROZ
39814,740.266,278.4356845,182.3816646,1.526664893,0.755609291,40185,225.1505257,0.737296296,0.990767699,0.912998513,0.808626689,6.993411,0.18444259999999998,362.901803265,200.648500848,DERMASON
38768,717.447,245.1300901,201.5737773,1.216081245,0.569034746,39165,222.1732447,0.769389537,0.989863398,0.946462939,0.906348317,6.323001,0.2631986,455.91433596,200.793159744,SEKER
76592,1094.186,429.0375007,228.8137347,1.875051344,0.845914377,77712,312.281865,0.66951049,0.985587811,0.803916545,0.727866129,5.601597,0.0969835,294.03295161,199.669735368,CALI
40695,758.057,285.3585761,182.1732841,1.566412867,0.769703702,41207,227.6279492,0.689593818,0.987574927,0.889912264,0.797690935,7.012129,0.1751331,353.152508985,200.341818867,SIRA
37500,718.931,267.041544,179.2552915,1.489727538,0.741218633,37857,218.5096861,0.698142011,0.990569776,0.911730977,0.81826102,7.121108,0.19692220000000002,371.600858835,200.487189906,DERMASON
42122,771.243,287.8738128,187.2325252,1.537520324,0.759593683,42610,231.5845334,0.765576154,0.988547289,0.889890104,0.80446544,6.8342860000000005,0.1765641,359.176376865,200.00078719200002,SIRA
34483,687.567,233.7407243,188.5878665,1.239426102,0.590790465,35051,209.5354844,0.740677893,0.983795042,0.916610562,0.896444062,6.778434,0.2700237,446.004636135,200.199544635,SEKER
31040,661.234,248.6290777,159.5083561,1.558721335,0.767079971,31424,198.7997874,0.74699781,0.987780041,0.892115785,0.799583819,8.009957,0.2019603,354.83052706499996,200.305341387,DERMASON
45980,793.771,290.2436873,202.1764573,1.435595871,0.717484117,46459,241.9577531,0.778477584,0.989689834,0.917040201,0.833636574,6.312390000000001,0.1880532,385.697215035,200.531119461,SIRA
38117,699.123,238.5940168,203.5957886,1.171900551,0.521396178,38406,220.2999585,0.767744924,0.992475134,0.979989441,0.923325578,6.259517,0.2806339,473.15421882,200.815184721,SEKER
40869,758.312,285.191666,183.1692606,1.556984316,0.766480795,41307,228.1140657,0.731632653,0.98939647,0.893116305,0.799862313,6.97819,0.1761909,355.0777446,200.22152499,DERMASON
76030,1058.572,412.8819876,236.7943681,1.743630944,0.819194457,77182,311.1340589,0.767979798,0.98507424,0.852617122,0.753566559,5.430514,0.1080207,315.1637208,199.018688931,CALI
28814,628.443,236.4423025,155.5729145,1.519816629,0.753040547,29137,191.5388322,0.773322598,0.988914439,0.91681483,0.810086986,8.205813,0.21798569999999998,364.213713375,200.470540071,DERMASON
68153,1029.375,358.2789264,242.6969575,1.476239876,0.735617924,69257,294.5761272,0.761996869,0.984059373,0.808253527,0.82219775,5.2569799999999995,0.1481908,375.1850727,200.588281449,BARBUNYA
42260,823.147,333.4548277,162.2438361,2.055269622,0.873650412,42828,231.9635815,0.710658191,0.986737648,0.783762639,0.695637197,7.890553999999999,0.11397729999999999,268.570665495,199.908128403,HOROZ
28086,617.361,227.4237565,157.6459261,1.442623747,0.720763135,28430,189.1036907,0.793569168,0.987900106,0.926022148,0.831503681,8.097406,0.2387715,383.72609646,200.48296971,DERMASON
51988,895.263,359.6862609,185.4459917,1.939574199,0.856843204,52690,257.280348,0.73533239,0.986676789,0.815101518,0.715291008,6.91864,0.1117202,283.96088043,199.46559012,HOROZ
53661,871.401,334.471822,205.2799979,1.629344434,0.789505276,54210,261.3872744,0.784827344,0.989872717,0.888039979,0.781492661,6.233052,0.14341020000000002,338.9555829,200.01325019700002,SIRA
63580,984.893,395.1800767,206.249654,1.916027828,0.852998669,64343,284.5216516,0.787153964,0.988141678,0.823668175,0.719979747,6.215478,0.1030233,287.69581398,199.63580234699998,HOROZ
37165,692.541,236.9842652,199.9171912,1.185412139,0.536990234,37477,217.5314866,0.750307876,0.991674894,0.973762446,0.917915316,6.376544,0.2792387,467.62553248499995,200.75698296,SEKER
73266,1044.036,379.3120306,247.6354716,1.53173545,0.757483549,74227,305.4262079,0.735454728,0.987053229,0.844658968,0.80521097,5.1771899999999995,0.1342495,359.84241183,199.617764004,BARBUNYA
72342,1046.653,388.4766707,238.0663984,1.631799671,0.790222281,73305,303.4941435,0.819609354,0.986863106,0.82984108,0.78124162,5.3700019999999995,0.12339449999999999,338.737850295,200.185972713,BARBUNYA
43292,777.472,286.5200199,192.6449086,1.487296093,0.740223334,43761,234.7788031,0.756244978,0.989282695,0.900011377,0.819415003,6.618313,0.1840529,372.64972614,200.72493109799998,SIRA
25319,590.337,220.5364099,146.8189422,1.502097799,0.746187706,25664,179.5470747,0.711847728,0.986557045,0.912969786,0.814138014,8.710313000000001,0.23605089999999998,367.865491275,200.119926123,DERMASON
44875,787.846,301.5002544,189.9134265,1.587566819,0.776680505,45314,239.0326851,0.729912167,0.990312045,0.908514069,0.79281089,6.718669,0.16373500000000002,348.84475494,200.570605308,SIRA
40904,754.239,277.198364,188.3798461,1.471486307,0.733596789,41398,228.2117226,0.792759269,0.988067056,0.903561408,0.823279471,6.776802999999999,0.19204090000000001,376.17294384,200.468829762,SIRA
28998,636.943,247.521561,149.9010298,1.651233226,0.795763148,29307,192.1494219,0.810294241,0.989456444,0.898207695,0.776293674,8.535815000000001,0.1912181,334.46068674,200.012238363,DERMASON
71598,1026.517,391.9523839,236.0805644,1.66024842,0.798255109,72930,301.9294701,0.776079605,0.981735911,0.853843866,0.770321811,5.474348,0.11890519999999999,329.33460906,198.02203626,CALI
34664,711.185,274.4216157,161.3739601,1.700532202,0.808823706,35096,210.0846867,0.802407407,0.987690905,0.861238357,0.765554441,7.9166170000000005,0.167735,325.270849665,200.324043834,DERMASON
